path,title,current_category,new_category,new_tags
_posts/2024-03-23-strength-at-the-end-range-of-motion.md,Strength at the end-range of motion 💪,stretching,strength,"mobility,positioning,stretching"
_posts/2024-03-26-hand-eye-coordination.md,Hand-eye coordination!,training,technique,"coordination,hand-eye,rebound-control"
_posts/2024-04-05-reakcni-micek-za-zady.md,REAKČNÍ MÍČEK ZA ZÁDY 🚸,coordination,coordination,
_posts/2024-05-08-hand-eye-coordination-using-a.md,Hand-eye-coordination using a 💫,warmup,coordination,"hand-eye,warmup"
_posts/2024-06-11-quick-tip.md,🔸 QUICK TIP 🫵🏼,training,technique,"positioning,theory,warmup"
_posts/2024-07-20-in-today-s-youtube-video-you-can-see-my-4-phases-i-use-for-floorball.md,In today's youtube video you can see my 4 phases I use for floorball,warmup,warmup,
_posts/2024-08-02-great-angle-to-analyze-training-and-games.md,Great angle to analyze training and games📽,training,technique,positioning
_posts/2024-08-02-hand-eye-coordination-some-good-exercises-you-can-do-whenever.md,Hand - eye - coordination ⭐️ some good exercises you can do whenever,coordination,technique,coordination
_posts/2024-08-11-for-a-long-time-many-of-you-have-wished-to-see-some-of-my-mobility.md,For a long time many of you have wished to see some of my mobility,stretching,movement,"mobility,positioning,stretching,theory,warmup"
_posts/2024-09-08-warm-up-mit.md,Warm up mit 🇨🇭,warmup,warmup,
_posts/2024-09-10-a-discussion-from-my-visit-to.md,A discussion from my visit to 🙌,training,movement,"footwork,positioning"
_posts/2024-09-14-goalie-training-by-stefan-flojt.md,Goalie training by Stefan Flöjt,training,technique,
_posts/2024-09-29-the-position-of-the-hand-is-important.md,The position of the hand is important.,training,technique,positioning
_posts/2024-10-03-10-jumps-20-shots-4-rounds.md,"10 jumps, 20 shots, 4 rounds.",training,technique,"hand-eye,mental,positioning,rebound-control"
_posts/2024-10-31-a-lot-of-things-to-focus-on-as-a-goalie.md,A lot of things to focus on as a goalie.,training,movement,"mental,positioning"
_posts/2024-11-02-back-into-it.md,Back into it!,training,technique,injury-recovery
_posts/2024-11-05-goalie-warmup-by-vaud-unihockey-crp-spe.md,Goalie warmup by Vaud Unihockey CRP | SPE,warmup,warmup,
_posts/2024-11-08-warming-up-and-at-the-same-time-practice-throwing-out.md,Warming up and at the same time practice throwing out 🤩🥅,training,technique,
_posts/2024-11-13-kdyz-oci-a-hlava-funguji-naplno-muze-fungovat-naplno-i-zbytek.md,"👁️ Když oči a hlava fungují naplno, může fungovat naplno i zbytek",coordination,coordination,
_posts/2024-12-04-goalie-strength-by-vaud-unihockey-crp-spe.md,Goalie strength by Vaud Unihockey CRP | SPE,strength,strength,
_posts/2024-12-04-mustaaaard.md,MUSTAAAARD,training,technique,
_posts/2025-01-24-goalie-training-by-vaud-unihockey-crp-spe.md,Goalie training by Vaud Unihockey CRP | SPE,training,technique,
_posts/2025-01-28-mv-traning.md,MV-träning,training,technique,
_posts/2025-02-16-position-of-the-hand-is-a-important-details-beautiful-demonstrated.md,"Position of the hand is a important details, beautiful demonstrated",training,technique,positioning
_posts/2025-02-27-goalie-coordination-by-vaud-unihockey-crp-spe.md,Goalie coordination by Vaud Unihockey CRP | SPE,coordination,coordination,
_posts/2025-03-03-jak-jsem-slibil-zde-je-moje-rozcvicka-ze-zapasu.md,Jak jsem slíbil zde je moje rozcvička ze zápasu🫵🏻,training,technique,
_posts/2025-03-31-goalie-training-by-vaud-unihockey-crp-spe.md,Goalie training by Vaud Unihockey CRP | SPE,training,technique,
_posts/2025-05-03-new-toy-for-our-goalies.md,New toy for our goalies 🔥,coordination,coordination,
_posts/2025-05-06-framtiden-ar-nu.md,Framtiden är nu!,training,technique,
_posts/2025-05-09-this-song-lives-rent-free-in-my-head-atm.md,This song lives rent free in my head atm🤷‍♂️,stretching,stretching,
_posts/2025-06-25-goalie-training-by-stefan-flojt.md,Goalie training by Stefan Flöjt,training,technique,
_posts/2025-08-14-goalie-session-by-what-was-the-best-exercise.md,Goalie session by 🥳 What was the best exercise?,coordination,coordination,
_posts/2025-12-08-cviceni-na-zlepseni-presunu-zrychleni-reakci-a-rozhodovani.md,"🔥 Cvičení na zlepšení přesunů, zrychlení reakcí a rozhodování ⚡️",warmup,warmup,
_posts/2025-12-11-tennis-balls-force-your-brain-and-body-to-process-information-faster.md,Tennis balls force your brain and body to process information faster.,coordination,reaction,"coordination,hand-eye,tennis-ball"
_posts/2025-12-12-filmed-the-safer-version-with-cones-instead-of-balls.md,Filmed the safer version with cones instead of balls),coordination,coordination,footwork
_posts/2025-12-19-zauberwurfel-zum-aufwarmen.md,„Zauberwürfel“ zum Aufwärmen.,"floorball,training",technique,
_posts/2025-12-29-cviceni-na-posunuti-tvych-hranic.md,🔥 Cvičení na posunutí tvých hranic!,training,technique,
_posts/2025-12-30-how-to-get-faster-for-floorball-at-home.md,How To Get Faster For Floorball at Home 🏠,training,technique,
_posts/2025-12-31-how-to-play-behind-the-goal.md,How to play behind the goal,training,technique,
_posts/2026-01-16-6-goalie-hand-eye-exercises-with-a-partner.md,6 goalie hand-eye exercises with a partner🖐👁,coordination,coordination,hand-eye
_posts/2026-01-20-movilidad-de-cadera-hockey-patines.md,🏒 MOVILIDAD DE CADERA – HOCKEY PATINES,strength,strength,
_posts/2026-01-25-shot-from-the-slot-drill.md,Shot from the slot drill,training,warmup,
_posts/2026-01-26-my-morning-mobility-routine-as-a-professional-goalkeeper.md,My Morning Mobility Routine as a Professional Goalkeeper,stretching,mobility,"injury-recovery,stretching"
_posts/2026-01-27-partage-a-un-pote-qui-doit-apprendre-a-faire-ca.md,Partage à un pote qui doit apprendre à faire ça,coordination,coordination,"hand-eye,juggling"
_posts/2026-01-31-drill-for-multiple-shots-in-one-round-with-two-sweeper-shopts-and-one.md,Drill for multiple shots in one round with two sweeper shopts and one,"floorball,training",technique,
_posts/2026-01-31-speed-wins-games.md,SPEED WINS GAMES 🫡⚽️👊🏼,"floorball,training",technique,
_posts/2026-02-01-4-with-partner-core-exercises.md,4 with partner core exercises!,strength,strength,
_posts/2026-02-03-some-friends-nibbling-in-a-good-fight.md,Some friends nibbling in a good fight,training,technique,
_posts/2026-02-03-warm-ups-dont-fail-because-theyre-wrong.md,Warm-ups don’t fail because they’re wrong.,"floorball,training",reaction,"footwork,warmup"
_posts/2026-02-04-can-you-do-all-3-levels.md,Can you do all 3 LEVELS?!💪🏻✅,strength,coordination,"mental,strength,theory,warmup"
_posts/2026-02-09-change-of-direction-speed-cods-chez-le-gardien-ne.md,Change of direction speed (CODS) chez le gardien-ne.,strength,strength,
